Country Name,Country Code,Year,Value
Arab World,ARB,2014,2855840877624.21
Central Europe and the Baltics,CEB,2014,1457835195256.48
East Asia & Pacific (all income levels),EAS,2014,21421778209784.7
East Asia & Pacific (developing only),EAP,2014,12571283022289.8
Euro area,EMU,2014,13402747137991
Europe & Central Asia (all income levels),ECS,2014,23113307648264.9
Europe & Central Asia (developing only),ECA,2014,1811042972360.28
European Union,EUU,2014,18460645625271.8
Fragile and conflict affected situations,FCS,2014,720139600480.26
Heavily indebted poor countries (HIPC),HPC,2014,632554956458.33
High income,HIC,2014,52906698875916.5
High income: nonOECD,NOC,2014,6259777325906.14
High income: OECD,OEC,2014,46673818635884.3
Latin America & Caribbean (all income levels),LCN,2014,6298365245262.59
Latin America & Caribbean (developing only),LAC,2014,4763935151056.49
Least developed countries: UN classification,LDC,2014,867876746051.97
Low & middle income,LMY,2014,24996778817219.9
Low income,LIC,2014,397409489023.738
Lower middle income,LMC,2014,5780293080613.99
Middle East & North Africa (all income levels),MEA,2014,3491393759092.78
Middle East & North Africa (developing only),MNA,2014,1522605886156.04
Middle income,MIC,2014,24597320477555.9
North America,NAC,2014,19211408095781.6
OECD members,OED,2014,48755319331940.2
Other small states,OSS,2014,97543663935.4556
Pacific island small states,PSS,2014,8249482011.13607
Small states,SST,2014,174034474388.17
South Asia,SAS,2014,2607870627031.73
Sub-Saharan Africa (all income levels),SSF,2014,1728322255380.7
Sub-Saharan Africa (developing only),SSA,2014,1712423546882.91
Upper middle income,UMC,2014,18808331730421.9
World,WLD,2014,77868767941744.7
Afghanistan,AFG,2014,20841951231.998
Albania,ALB,2014,13370191506.0031
Algeria,DZA,2014,214063173187.56
Angola,AGO,2014,131400635026.055
Antigua and Barbuda,ATG,2014,1269117037.03704
Argentina,ARG,2014,540197457443.535
Armenia,ARM,2014,10881605059.4369
Australia,AUS,2014,1453770210672.04
Austria,AUT,2014,436343622435.169
Azerbaijan,AZE,2014,75198010965.1919
"Bahamas, The",BHS,2014,8510500000
Bahrain,BHR,2014,33868989361.7021
Bangladesh,BGD,2014,173818932215.65
Barbados,BRB,2014,4348000000
Belarus,BLR,2014,76139250364.5185
Belgium,BEL,2014,533382785676.064
Benin,BEN,2014,8746992733.49967
Bhutan,BTN,2014,1821412872.84144
Bolivia,BOL,2014,34175832127.3517
Bosnia and Herzegovina,BIH,2014,18344278252.6116
Botswana,BWA,2014,15813371063.1566
Brazil,BRA,2014,2346118175194.26
Brunei Darussalam,BRN,2014,17256754269.1545
Bulgaria,BGR,2014,55734676434.6764
